Reported Date,Firm,FromGrade,ToGrade,Outlook
4/1/2020,Stephens & Co.,,Overweight,main
4/1/2020,Oppenheimer,,Outperform,main
4/8/2020,Morgan Stanley,,Overweight,main
4/9/2020,Citigroup,,Buy,main
4/9/2020,Nomura,,Buy,main
4/15/2020,Jefferies,Buy,Hold,down
4/27/2020,Wedbush,,Outperform,main
5/1/2020,Raymond James,,Outperform,main
5/1/2020,Oppenheimer,,Outperform,main
5/1/2020,Morgan Stanley,,Overweight,main
5/1/2020,RBC Capital,,Outperform,main
5/1/2020,UBS,,Neutral,main
5/1/2020,SunTrust Robinson Humphrey,,Buy,main
5/1/2020,Deutsche Bank,Buy,Buy,main
5/4/2020,BMO Capital,,Outperform,main
5/6/2020,Stephens & Co.,Overweight,Overweight,main
5/20/2020,Cowen & Co.,,Outperform,main
6/1/2020,Wedbush,Outperform,Outperform,main
6/17/2020,Citigroup,,Buy,main
7/9/2020,JP Morgan,Overweight,Overweight,main
7/13/2020,Wells Fargo,Overweight,Overweight,main
7/14/2020,Goldman Sachs,,Buy,init
7/28/2020,Morgan Stanley,,Overweight,main
7/29/2020,Raymond James,,Outperform,main
7/29/2020,Piper Sandler,,Neutral,main
7/29/2020,JP Morgan,,Overweight,main
7/30/2020,Stephens & Co.,Overweight,Overweight,main
8/3/2020,Keybanc,,Overweight,main
8/27/2020,Mizuho,,Buy,init
8/27/2020,B of A Securities,,Buy,main
9/21/2020,Keybanc,,Overweight,main
10/2/2020,Jefferies,,Hold,main
10/26/2020,Morgan Stanley,,Overweight,main
10/29/2020,RBC Capital,Outperform,Outperform,main
10/29/2020,Raymond James,,Outperform,main
10/29/2020,Wells Fargo,,Overweight,main
10/29/2020,Piper Sandler,,Neutral,main
10/29/2020,BMO Capital,,Outperform,main
10/29/2020,Credit Suisse,Outperform,Outperform,main
10/29/2020,Jefferies,Hold,Hold,main
10/30/2020,Morgan Stanley,,Overweight,main
11/2/2020,Keybanc,,Overweight,main
11/5/2020,Stephens & Co.,Overweight,Overweight,main
11/19/2020,Wells Fargo,,Overweight,main
12/2/2020,Piper Sandler,Overweight,Overweight,main
12/2/2020,Stephens & Co.,Overweight,Overweight,main
12/7/2020,Seaport Global,,Buy,init
1/13/2021,KeyBanc,,Overweight,main
1/13/2021,Jefferies,Hold,Buy,up
1/14/2021,Deutsche Bank,,Buy,main
1/20/2021,Morgan Stanley,,Overweight,main
1/27/2021,Keybanc,Overweight,Sector Weight,down
1/29/2021,Raymond James,Outperform,Outperform,main
1/29/2021,Credit Suisse,,Outperform,main
2/8/2021,Stephens & Co.,Overweight,Overweight,main
3/10/2021,Jefferies,Buy,Buy,main
3/16/2021,Morgan Stanley,,Overweight,main
3/19/2021,RBC Capital,Outperform,Outperform,main
4/20/2021,Barclays,,Overweight,main
4/20/2021,Morgan Stanley,,Overweight,main
4/28/2021,Raymond James,,Outperform,main
4/28/2021,Wells Fargo,,Overweight,main
4/28/2021,Credit Suisse,,Outperform,main
4/28/2021,Truist Securities,Buy,Buy,main
4/28/2021,Mizuho,,Buy,main
4/28/2021,Morgan Stanley,,Overweight,main
4/28/2021,Jefferies,,Buy,main
4/28/2021,Citigroup,Buy,Buy,main
4/29/2021,BMO Capital,Outperform,Outperform,main
5/3/2021,Barclays,,Overweight,main
5/4/2021,Stephens & Co.,Overweight,Overweight,main
5/18/2021,Daiwa Capital,Neutral,Outperform,up
6/7/2021,Piper Sandler,Neutral,Overweight,up
6/7/2021,Barclays,,Overweight,main
6/8/2021,Credit Suisse,,Outperform,main
7/9/2021,Oppenheimer,,Outperform,main
7/15/2021,Baird,,Outperform,main
7/28/2021,Raymond James,,Outperform,main
7/28/2021,Piper Sandler,Overweight,Overweight,main
7/28/2021,Wells Fargo,,Overweight,main
7/28/2021,Susquehanna,,Positive,main
7/28/2021,Truist Securities,,Buy,main
7/28/2021,Wedbush,Outperform,Outperform,main
7/28/2021,Morgan Stanley,,Overweight,main
7/28/2021,Citigroup,Buy,Buy,main
8/12/2021,Daiwa Capital,Outperform,Neutral,down
8/17/2021,JP Morgan,,Overweight,main
10/26/2021,Baird,Outperform,Outperform,main
10/27/2021,JP Morgan,Overweight,Overweight,main
10/27/2021,Raymond James,,Outperform,main
10/27/2021,RBC Capital,Outperform,Outperform,main
10/27/2021,Morgan Stanley,,Overweight,main
10/28/2021,Citigroup,,Buy,main
10/28/2021,BMO Capital,Outperform,Outperform,main
11/1/2021,Mizuho,,Buy,main
11/18/2021,Morgan Stanley,Overweight,Overweight,main
12/1/2021,Baird,Outperform,Outperform,main
12/3/2021,UBS,Buy,Buy,main
12/20/2021,Wedbush,,Outperform,main
1/7/2022,Mizuho,Buy,Neutral,down
1/11/2022,Raymond James,,Outperform,main
1/14/2022,Morgan Stanley,Overweight,Overweight,main
1/18/2022,Piper Sandler,Overweight,Overweight,main
1/19/2022,RBC Capital,Outperform,Outperform,main
1/25/2022,Mizuho,Neutral,Neutral,main
1/27/2022,Morgan Stanley,Overweight,Overweight,main
1/28/2022,Raymond James,,Outperform,main
1/28/2022,Piper Sandler,Overweight,Overweight,main
1/28/2022,RBC Capital,Outperform,Outperform,main
1/28/2022,Wedbush,,Outperform,main
1/28/2022,Deutsche Bank,Buy,Buy,main
1/31/2022,Barclays,,Overweight,main
2/2/2022,Mizuho,Neutral,Neutral,main
2/11/2022,UBS,Buy,Buy,main
3/27/2022,RBC Capital,Outperform,Outperform,main
4/4/2022,Barclays,,Overweight,main
4/18/2022,Baird,Outperform,Outperform,main
4/21/2022,Morgan Stanley,,Overweight,main
4/22/2022,RBC Capital,Outperform,Outperform,main
4/25/2022,Citigroup,Buy,Buy,main
4/26/2022,RBC Capital,Outperform,Outperform,main
4/27/2022,JP Morgan,Overweight,Overweight,main
4/27/2022,Credit Suisse,,Outperform,main
