Reported Date,Firm,FromGrade,ToGrade,Outlook
2/13/2020,SunTrust Robinson Humphrey,,Buy,main
2/14/2020,Citigroup,,Buy,main
2/14/2020,UBS,,Buy,main
2/14/2020,Rosenblatt,,Buy,main
2/14/2020,Wedbush,,Outperform,main
2/14/2020,Raymond James,,Outperform,main
2/14/2020,Wells Fargo,,Overweight,main
2/14/2020,Morgan Stanley,,Overweight,main
2/14/2020,Oppenheimer,,Outperform,main
2/14/2020,Cascend,,Buy,main
2/14/2020,Craig-Hallum,,Buy,main
2/18/2020,Argus Research,,Buy,reit
2/19/2020,Bernstein,Market Perform,Outperform,up
2/25/2020,Nomura,Neutral,Reduce,down
3/18/2020,Morgan Stanley,,Overweight,main
3/20/2020,Wells Fargo,,Overweight,main
3/24/2020,Needham,Hold,Buy,up
3/31/2020,Susquehanna,,Positive,main
4/17/2020,UBS,,Buy,main
4/28/2020,Morgan Stanley,,Overweight,main
5/4/2020,Susquehanna,,Positive,main
5/7/2020,SunTrust Robinson Humphrey,,Buy,main
5/11/2020,Needham,,Buy,main
5/13/2020,Wedbush,,Outperform,main
5/15/2020,Raymond James,,Outperform,reit
5/18/2020,BMO Capital,Market Perform,Outperform,up
5/19/2020,RBC Capital,,Outperform,main
5/19/2020,Susquehanna,,Positive,main
5/22/2020,Needham,,Buy,main
5/22/2020,Rosenblatt,,Buy,main
5/22/2020,SunTrust Robinson Humphrey,,Buy,main
5/22/2020,Mizuho,,Buy,reit
5/22/2020,Nomura,,Reduce,main
5/22/2020,Wells Fargo,,Overweight,main
5/22/2020,Wedbush,,Outperform,main
5/22/2020,Oppenheimer,,Outperform,main
5/22/2020,Raymond James,,Outperform,reit
5/22/2020,Deutsche Bank,,Hold,main
5/22/2020,B of A Securities,,Buy,reit
5/22/2020,UBS,,Buy,main
5/22/2020,Piper Sandler,,Overweight,main
5/22/2020,Cascend,,Buy,main
5/26/2020,Morgan Stanley,,Overweight,main
6/16/2020,Morgan Stanley,Overweight,Equal-Weight,down
6/17/2020,Jefferies,,Buy,main
7/7/2020,B of A Securities,,Buy,main
7/10/2020,Rosenblatt,,Buy,main
7/20/2020,Barclays,,Overweight,main
8/13/2020,Raymond James,,Outperform,main
8/14/2020,Wedbush,,Outperform,main
8/17/2020,Wells Fargo,,Overweight,main
8/20/2020,Needham,,Buy,main
8/20/2020,RBC Capital,,Outperform,main
8/20/2020,Rosenblatt,,Buy,main
8/20/2020,Morgan Stanley,,Equal-Weight,main
8/20/2020,Mizuho,,Buy,main
8/20/2020,Raymond James,,Outperform,main
8/20/2020,Credit Suisse,,Outperform,main
8/20/2020,Barclays,,Overweight,main
8/20/2020,Citigroup,,Buy,main
8/20/2020,Oppenheimer,,Outperform,main
8/20/2020,Wells Fargo,,Overweight,main
8/20/2020,Jefferies,,Buy,main
8/20/2020,Susquehanna,,Positive,main
9/2/2020,Mizuho,,Buy,main
9/2/2020,Credit Suisse,,Outperform,main
9/2/2020,B of A Securities,,Buy,main
9/2/2020,Benchmark,,Buy,main
9/2/2020,Goldman Sachs,,Buy,main
9/2/2020,RBC Capital,,Outperform,main
9/14/2020,Jefferies,,Buy,main
9/15/2020,Needham,,Buy,main
9/15/2020,Craig-Hallum,,Hold,main
10/6/2020,Oppenheimer,,Outperform,main
10/6/2020,Cascend,,Buy,main
10/6/2020,BMO Capital,,Outperform,main
10/6/2020,JP Morgan,,Overweight,main
10/12/2020,Truist Securities,,Buy,main
11/19/2020,Rosenblatt,,Buy,main
11/19/2020,Raymond James,,Outperform,main
11/19/2020,Mizuho,,Buy,main
11/19/2020,B of A Securities,,Buy,main
1/15/2021,Susquehanna,,Positive,main
1/15/2021,Truist Securities,,Buy,main
1/26/2021,Barclays,,Overweight,main
2/18/2021,Oppenheimer,,Outperform,main
2/22/2021,Deutsche Bank,,Hold,main
2/22/2021,Susquehanna,Positive,Positive,main
2/24/2021,Cascend,,Buy,main
2/25/2021,Needham,,Buy,main
2/25/2021,Raymond James,,Outperform,main
2/25/2021,Piper Sandler,,Overweight,main
2/25/2021,Mizuho,,Buy,main
2/25/2021,Deutsche Bank,,Hold,main
2/25/2021,JP Morgan,,Overweight,main
2/25/2021,Cowen & Co.,,Outperform,main
4/13/2021,Barclays,,Overweight,main
4/13/2021,Rosenblatt,,Buy,main
4/13/2021,Mizuho,,Buy,main
4/13/2021,Deutsche Bank,,Hold,main
4/13/2021,Cowen & Co.,,Outperform,main
4/13/2021,Wells Fargo,,Overweight,main
4/15/2021,Raymond James,Outperform,Strong Buy,up
5/5/2021,Baird,,Outperform,init
5/25/2021,Susquehanna,,Positive,reit
5/27/2021,Keybanc,,Overweight,main
5/27/2021,Mizuho,,Buy,main
5/27/2021,B of A Securities,,Buy,main
5/27/2021,Deutsche Bank,,Hold,main
5/27/2021,Jefferies,,Buy,main
5/27/2021,UBS,,Buy,main
5/27/2021,Craig-Hallum,Hold,Buy,up
5/27/2021,Evercore ISI Group,,Outperform,main
5/27/2021,Wedbush,,Outperform,main
5/27/2021,BMO Capital,,Outperform,main
5/27/2021,Piper Sandler,,Overweight,main
5/27/2021,Truist Securities,,Buy,main
5/27/2021,Susquehanna,Positive,Positive,main
6/17/2021,Jefferies,,Buy,main
6/18/2021,B of A Securities,,Buy,main
6/22/2021,Raymond James,,Strong Buy,main
7/1/2021,BMO Capital,,Outperform,main
7/6/2021,Keybanc,,Overweight,main
7/8/2021,Truist Securities,,Buy,main
7/15/2021,Mizuho,,Buy,main
8/4/2021,Rosenblatt,,Buy,main
8/12/2021,Wells Fargo,,Overweight,main
8/12/2021,UBS,,Buy,main
8/12/2021,Evercore ISI Group,,Outperform,main
8/19/2021,Keybanc,,Overweight,main
8/19/2021,Needham,,Buy,main
8/19/2021,Barclays,,Overweight,main
8/19/2021,Summit Insights Group,Hold,Sell,down
8/19/2021,Mizuho,,Buy,main
8/19/2021,Rosenblatt,,Buy,main
8/19/2021,Credit Suisse,,Outperform,main
8/19/2021,Deutsche Bank,,Hold,main
9/17/2021,B of A Securities,,Buy,main
9/28/2021,Susquehanna,,Positive,main
10/5/2021,Keybanc,,Overweight,main
10/25/2021,Piper Sandler,,Overweight,main
11/4/2021,Wells Fargo,,Overweight,main
11/10/2021,B of A Securities,,Buy,main
11/11/2021,Oppenheimer,,Outperform,main
11/11/2021,Susquehanna,Positive,Positive,main
11/12/2021,Wedbush,Outperform,Neutral,down
11/16/2021,Credit Suisse,,Outperform,main
11/18/2021,Keybanc,,Overweight,main
11/18/2021,Piper Sandler,,Overweight,main
11/18/2021,Mizuho,,Buy,main
11/18/2021,Raymond James,,Strong Buy,main
11/18/2021,Needham,,Buy,main
11/18/2021,Truist Securities,,Buy,main
11/18/2021,Deutsche Bank,,Hold,main
2/9/2022,Susquehanna,,Positive,reit
2/14/2022,Truist Securities,,Buy,reit
2/17/2022,Mizuho,,Buy,main
2/17/2022,Summit Insights Group,Buy,Hold,down
3/15/2022,TD Cowen,,Outperform,reit
3/29/2022,Tigress Financial,,Buy,main
4/8/2022,Truist Securities,,Buy,main
4/11/2022,Baird,Outperform,Neutral,down
4/12/2022,Keybanc,,Overweight,main
4/12/2022,Susquehanna,Positive,Positive,main
4/13/2022,New Street Research,Neutral,Buy,up
4/20/2022,Deutsche Bank,,Hold,main
4/25/2022,Barclays,,Overweight,main
5/18/2022,Susquehanna,,Positive,main
5/19/2022,Oppenheimer,,Outperform,main
5/19/2022,Wedbush,,Neutral,main
5/20/2022,Wells Fargo,,Overweight,main
5/23/2022,UBS,,Buy,main
5/23/2022,Bernstein,,Outperform,main
5/24/2022,Truist Securities,,Buy,main
5/26/2022,Keybanc,,Overweight,main
5/26/2022,Truist Securities,,Buy,main
5/26/2022,Piper Sandler,,Overweight,main
5/26/2022,Citigroup,,Buy,main
5/26/2022,Susquehanna,,Positive,main
5/26/2022,Morgan Stanley,,Equal-Weight,main
5/26/2022,Deutsche Bank,,Hold,main
5/26/2022,JP Morgan,,Overweight,main
5/26/2022,Raymond James,,Strong Buy,main
5/26/2022,Mizuho,,Buy,main
5/26/2022,Cowen & Co.,,Outperform,main
5/26/2022,Needham,,Buy,main
5/26/2022,BMO Capital,,Outperform,main
5/27/2022,Baird,,Neutral,main
6/29/2022,B of A Securities,,Buy,main
7/11/2022,Piper Sandler,,Overweight,main
7/12/2022,Keybanc,,Overweight,main
7/12/2022,Citigroup,,Buy,main
7/13/2022,Susquehanna,,Positive,main
7/14/2022,Baird,,Neutral,main
7/20/2022,Deutsche Bank,,Hold,main
7/25/2022,Barclays,,Overweight,main
8/8/2022,Craig-Hallum,Buy,Hold,down
8/9/2022,Raymond James,,Strong Buy,main
8/9/2022,Mizuho,,Buy,main
8/9/2022,Susquehanna,,Positive,main
8/9/2022,Truist Securities,,Buy,main
8/25/2022,JP Morgan,,Overweight,main
8/25/2022,Citigroup,,Buy,main
8/25/2022,Raymond James,,Strong Buy,main
8/25/2022,Barclays,,Overweight,main
8/25/2022,Benchmark,,Buy,main
8/25/2022,BMO Capital,,Outperform,main
8/25/2022,Mizuho,,Buy,main
8/25/2022,Baird,,Neutral,main
8/25/2022,Wedbush,,Neutral,main
8/25/2022,Truist Securities,,Buy,main
8/25/2022,Deutsche Bank,,Hold,main
8/25/2022,Craig-Hallum,,Hold,main
8/25/2022,Susquehanna,Positive,Positive,main
9/1/2022,Piper Sandler,,Overweight,main
9/2/2022,Needham,,Buy,main
9/8/2022,Stifel,,Hold,init
9/15/2022,Mizuho,,Buy,main
9/21/2022,BMO Capital,,Outperform,main
9/21/2022,Susquehanna,,Positive,main
9/29/2022,Susquehanna,Positive,Positive,main
10/11/2022,Citigroup,,Buy,main
10/18/2022,Deutsche Bank,,Hold,main
10/24/2022,Barclays,,Overweight,main
11/11/2022,Oppenheimer,,Outperform,main
11/17/2022,Deutsche Bank,,Hold,main
11/17/2022,Mizuho,,Buy,main
11/17/2022,Needham,,Buy,main
11/17/2022,Raymond James,,Strong Buy,main
11/17/2022,Susquehanna,,Positive,main
11/17/2022,Morgan Stanley,,Equal-Weight,main
11/17/2022,Wedbush,,Neutral,main
11/17/2022,Stifel,,Hold,main
11/17/2022,Summit Insights Group,Hold,Buy,up
12/9/2022,Tigress Financial,,Buy,main
12/12/2022,TD Cowen,,Outperform,main
12/15/2022,Evercore ISI Group,,Outperform,main
12/15/2022,HSBC,,Reduce,init
12/19/2022,Needham,,Buy,main
1/11/2023,Keybanc,,Overweight,main
1/23/2023,Barclays,,Overweight,main
1/23/2023,Truist Securities,,Buy,main
2/14/2023,B of A Securities,,Buy,main
2/16/2023,DZ Bank,Buy,Sell,down
2/16/2023,Susquehanna,,Positive,main
2/17/2023,Keybanc,,Overweight,main
2/17/2023,Oppenheimer,,Outperform,main
2/21/2023,BMO Capital,,Outperform,main
2/21/2023,Stifel,,Hold,main
2/21/2023,Morgan Stanley,,Equal-Weight,main
2/21/2023,Oppenheimer,,Outperform,main
2/22/2023,Piper Sandler,,Overweight,main
2/23/2023,TD Cowen,,Outperform,main
2/23/2023,Needham,,Buy,main
2/23/2023,Evercore ISI Group,,Outperform,main
2/23/2023,Citigroup,,Buy,main
2/23/2023,Deutsche Bank,,Hold,main
2/23/2023,Piper Sandler,,Overweight,main
2/23/2023,Barclays,,Overweight,main
2/23/2023,Mizuho,,Buy,main
2/23/2023,JP Morgan,,Overweight,main
2/23/2023,Oppenheimer,,Outperform,main
2/23/2023,Baird,,Neutral,main
2/23/2023,Rosenblatt,,Buy,reit
2/23/2023,Wells Fargo,,Overweight,main
2/23/2023,BMO Capital,,Outperform,main
2/23/2023,Morgan Stanley,,Equal-Weight,main
2/23/2023,B of A Securities,,Buy,main
2/23/2023,Truist Securities,,Buy,main
2/23/2023,Goldman Sachs,Neutral,Buy,up
2/23/2023,Stifel,,Hold,main
2/23/2023,Jefferies,,Buy,main
2/23/2023,Craig-Hallum,,Hold,main
3/9/2023,Susquehanna,,Positive,reit
3/16/2023,Wedbush,,Neutral,reit
3/17/2023,Morgan Stanley,Equal-Weight,Overweight,up
3/17/2023,Citigroup,,Buy,main
3/21/2023,Exane BNP Paribas,Underperform,Neutral,up
3/22/2023,Deutsche Bank,,Hold,main
3/22/2023,Needham,,Buy,reit
3/22/2023,Oppenheimer,,Outperform,main
3/22/2023,Wells Fargo,,Overweight,main
3/22/2023,Mizuho,,Buy,main
3/22/2023,Rosenblatt,,Buy,reit
3/22/2023,TD Cowen,,Outperform,main
3/22/2023,BMO Capital,,Outperform,main
3/22/2023,Truist Securities,,Buy,main
3/23/2023,Needham,,Buy,main
3/27/2023,UBS,,Buy,main
3/28/2023,Bernstein,,Outperform,main
3/29/2023,Piper Sandler,,Overweight,main
3/30/2023,Susquehanna,Positive,Positive,main
3/31/2023,Tigress Financial,,Buy,reit
4/11/2023,Keybanc,,Overweight,main
4/11/2023,Evercore ISI Group,,Outperform,main
4/11/2023,Piper Sandler,,Overweight,main
4/18/2023,HSBC,Reduce,Buy,up
4/19/2023,B of A Securities,,Buy,main
4/24/2023,Evercore ISI Group,,Outperform,reit
4/25/2023,Erste Group,Hold,Buy,up
5/10/2023,Truist Securities,Buy,Buy,main
5/11/2023,Rosenblatt,Buy,Buy,reit
5/18/2023,Oppenheimer,Outperform,Outperform,main
5/18/2023,Susquehanna,Positive,Positive,main
5/22/2023,Keybanc,Overweight,Overweight,main
5/22/2023,Wedbush,Neutral,Neutral,main
5/23/2023,Stifel,Hold,Hold,main
5/24/2023,Citigroup,Buy,Buy,main
5/25/2023,Keybanc,Overweight,Overweight,main
5/25/2023,Bernstein,Outperform,Outperform,main
5/25/2023,Barclays,Overweight,Overweight,main
5/25/2023,Goldman Sachs,Buy,Buy,main
5/25/2023,Citigroup,Buy,Buy,main
5/25/2023,Needham,Buy,Buy,main
5/25/2023,Oppenheimer,Outperform,Outperform,main
5/25/2023,Susquehanna,Positive,Positive,main
5/25/2023,Wells Fargo,Overweight,Overweight,main
5/25/2023,JP Morgan,Overweight,Overweight,main
5/25/2023,Raymond James,Strong Buy,Strong Buy,main
5/25/2023,Mizuho,Buy,Buy,main
5/25/2023,Truist Securities,Buy,Buy,main
5/25/2023,TD Cowen,Outperform,Outperform,main
5/25/2023,Rosenblatt,Buy,Buy,main
5/25/2023,Wedbush,Neutral,Outperform,up
5/25/2023,Morgan Stanley,Overweight,Overweight,main
5/25/2023,Evercore ISI Group,Outperform,Outperform,main
5/25/2023,Craig-Hallum,Hold,Buy,up
5/25/2023,Jefferies,Buy,Buy,main
5/25/2023,Baird,Neutral,Outperform,up
5/25/2023,B of A Securities,Buy,Buy,main
5/25/2023,Stifel,Hold,Hold,main
5/25/2023,BMO Capital,Outperform,Outperform,main
5/25/2023,UBS,Buy,Buy,main
5/25/2023,Piper Sandler,Overweight,Overweight,main
5/25/2023,Deutsche Bank,Hold,Hold,main
5/26/2023,Goldman Sachs,Buy,Buy,main
5/31/2023,B of A Securities,Buy,Buy,main
6/16/2023,Morgan Stanley,Overweight,Overweight,main
6/22/2023,Mizuho,Buy,Buy,reit
6/29/2023,Rosenblatt,Buy,Buy,reit
6/30/2023,Daiwa Capital,Neutral,Outperform,up
7/7/2023,Tigress Financial,Buy,Buy,main
7/10/2023,Goldman Sachs,Buy,Buy,main
7/11/2023,Keybanc,Overweight,Overweight,main
7/14/2023,Truist Securities,Buy,Buy,main
7/20/2023,Wolfe Research,,Outperform,init
7/20/2023,Barclays,Overweight,Overweight,main
7/20/2023,Susquehanna,Positive,Positive,main
7/24/2023,Mizuho,Buy,Buy,main
8/15/2023,UBS,Buy,Buy,main
8/15/2023,Wells Fargo,Overweight,Overweight,main
8/15/2023,Baird,Outperform,Outperform,main
8/16/2023,Piper Sandler,Overweight,Overweight,main
8/16/2023,Raymond James,Strong Buy,Strong Buy,main
8/17/2023,Oppenheimer,Outperform,Outperform,main
8/17/2023,Rosenblatt,Buy,Buy,main
8/18/2023,Wedbush,Outperform,Outperform,reit
8/21/2023,Keybanc,Overweight,Overweight,main
8/21/2023,HSBC,Buy,Buy,main
8/21/2023,BMO Capital,Outperform,Outperform,main
8/24/2023,Keybanc,Overweight,Overweight,main
8/24/2023,Exane BNP Paribas,Neutral,Outperform,up
8/24/2023,Stifel,Hold,Buy,up
8/24/2023,WestPark Capital,Hold,Buy,up
8/24/2023,Deutsche Bank,Hold,Hold,main
